ID,user_id,prop_0,prop_11,prop_21,prop_22,prop_23,prop_24,prop_31,prop_41,prop_42,prop_43,prop_52,prop_71,prop_81,prop_82,prop_90,prop_95,prop_TOTAL
1,2e11f6fb-f0b0-4088-8761-3420a8e12a92,,0,0,65.93137255,6.985294118,27.08333333,,0,,0,,,0,0,0,0,100
2,6e58444a-4981-42f9-f5c1-06a5a7d425be,,0,27.44,36.65,18.71,15.38,,,,,0,,,1.82,,,100
3,2c7138d5-a8a2-5ecb-711f-a9b76a5f41b0,,0,4.413858567,12.46461474,6.605977374,3.617122257,,5.523255814,,3.571428571,0,,27.41322407,15.66822177,10.71428571,7.62705874,100
4,4b605cb9-d7a4-fe1f-6780-2e5dbc4e769d,,0.081699346,2.741710505,18.76505714,3.38294039,3.2370487,,1.437908497,,0,0,,3.360157564,65.24277757,0.163398693,1.587301587,100
5,18df612c-836e-2cb5-268e-68d75976da0d,,0.079365079,35.24576865,58.44224563,4.567099567,0.581606688,,0.079365079,,,0.079365079,,0.687088992,0.238095238,,,100
6,e9fe6635-6092-8ae6-dfb2-2caaee248ae7,,1.986694678,,34.02645149,43.96778711,15.01906672,,0,,,0,5,,,,,100
7,51eec6a8-3369-dfe7-450f-f038b337103d,,,0.72,5.54,73.87,3.28,,,,10,,,6.04,0.56,,,100.01
8,f8ffea28-bb70-8b0e-ccb3-9adb0cfcdfbf,,,9.23,0.68,0.23,2.41,,87.46,,,,,,,,,100.01
9,ca25a0a0-5d52-2b57-c7bc-8933bde2f90d,,3.48,0.25,36.3,31.3,27.51,,0.98,,,0.09,,,,0.09,,100
10,f46f34ab-2437-fc52-f58c-adee6ec19900,,,6.6,45.1,12.44,10.75,,0.59,0.13,,,,0.11,0.9,22.95,0.42,99.99
11,e88e9c06-3b8d-ee96-1f16-5fcf51aed182,,,9.68,86.93,1.87,0.3,,1.22,,,,,,,,,100
12,0f5d0892-7aa3-62df-0751-6792209031bd,,,0.27,4.76,2.22,0.27,,0.84,,,,,87.37,4.27,,,100
13,f2c6189f-764c-b694-cbcd-777575f1a5be,,3.95,5.95,66.94,1.88,6.12,0.02,1.72,0.18,9.87,0.04,0.31,0.73,2.14,0.14,0.02,100.01
14,53a41686-89b6-63d3-f53c-bc91ca2feaa9,,0.99,1.76,50.75,24.44,16.8,,0.14,,1.47,,,2.87,0.55,,0.23,100
15,2fe2b1d1-ef0a-6fc4-a523-34a4803d4675,,0.64,5.49,14.13,12.55,61.41,,,4.38,0.55,,,,0.52,0.12,0.22,100.01
16,48b8d9c5-9b48-93ce-2c47-54161c6916c5,,,0.01,52.33,35.57,12.09,,,,,,,,,,,100
17,6b1ac339-93f0-c0f3-5dd2-269e97a4453f,,,4.16,54.52,11.81,22.28,,1.25,,0.19,0.1,0.1,0.31,3.68,1.31,0.29,100
18,ede8aa3a-39e1-c9d9-afa1-1a44f36a111f,,0.49,2.61,2.84,2.06,21.65,,65.92,,0.82,1.41,,0.01,1.29,0.9,,100
19,82668174-16cd-1095-aa13-d06591f7af1f,,,0.3,60.75,11.42,24.7,,0.2,,0.1,,,2.28,,0.07,0.17,99.99
20,faad39bf-427c-b9bf-f725-b008995708e2,,,46.86,3.19,46.93,2.69,,,,,,0.26,,,,0.07,100
21,d0684473-a44c-f08b-9c3b-ff2c15cebe5a,,0.49,19.25,6.13,2.86,7.33,0.05,4.39,0.1,0.32,51.38,0.37,3.9,3.03,0.4,,100
22,b4c73776-8dbf-20a2-67c6-58ada7ec1abe,,,21.56,23.59,48.58,1.9,,0.06,,0.07,,,3.96,0.2,0.07,,99.99
23,f77348a5-543f-06e5-8cd9-3b09b98066ca,,,1.5,2.83,3.05,17,,,,,,,,75.62,,,100
24,f2bd5111-97a9-e1fc-e4c7-7ed768a9ca36,,0.05,6.12,15.92,52.68,21.81,,0.51,0.01,0.04,,0.67,0.24,0.06,0.54,1.35,100
25,c7bfd51f-2fd1-6ed7-dea7-a56c5ea69f59,,0.14,4.7,12.41,4.39,3.1,0.1,0.39,0.05,0.66,,73.34,0.37,0.2,0.11,0.05,100.01
26,0cf7c482-8abd-40c9-17ab-6487c24b2982,,,7.91,54.15,19.17,9.59,,2.14,,,,1.14,1.87,3.62,0.08,0.33,100
27,680679ae-7c20-49cd-5a43-d79e388d7812,,2.99,1.22,52.16,4.04,2.02,16.38,0.04,,0.04,,,4.68,16.2,,0.27,100.04
28,40266ff4-6528-91a5-efba-433e712559a4,,0.13,88.85,3.16,2.82,2.62,,0.53,0.07,0.03,,,0.04,0.6,1.06,0.07,99.98
29,576f537b-15d7-a564-e22f-5fc654557953,,7.01,11.44,31.87,17.65,3.29,0.31,14.43,0.27,2.1,,0.05,1.85,2.25,7.47,0,99.99
30,36346f78-48d8-2e4f-5c2c-1e37520109cb,,0.93,1.17,49.02,5.41,7.82,0.06,10.12,0.1,11.2,5.46,5.37,1.39,0.62,1.34,,100.01
31,7f9c0ab8-2727-4e9c-fe08-963f8d438b70,,,0.51,46.4,3.67,46.9,,,,,,,2.34,0.18,,,100
32,457482ab-d5b6-0b54-bcb6-9860c7710a77,,,0.83,10,5.44,4.47,0.06,60.1,0.28,1.69,,,1.82,15.12,0.2,,100.01
33,a556b3af-36e7-b78e-92f0-194d9f644470,,0.28,1.6,61.81,17.5,4.5,,0.76,,,,,1.55,11.9,0.11,,100.01
34,c8e3d5cc-895b-cdf9-daca-e069b33ef631,,,1.05,74.06,3.04,13.89,,0.01,,1.33,,,2.41,2.99,,9.22,108
35,3c3c0007-72c8-f748-9902-ee013d3073c6,,0.11,33.9,27.74,19.03,1.53,,0.13,,,,,7.27,9.86,0.43,,100
36,13b95eda-1ac9-42eb-5277-710b3887a5e3,,0.18,11.44,61.38,3.56,20.04,0.06,0.12,,0.03,,0.05,0.23,2.79,0.08,0.04,100
37,40ed7d51-3d11-fd0f-134c-43f06b71bb53,,,,71.9,0.22,,,,,,,,26.27,1.61,,,100
38,341376d8-763d-323e-a1f4-8e9511795d80,,6.35,4.32,10.93,22.56,12.37,1.53,1.21,0.9,5,0.47,20.84,3.84,6.29,3.06,0.32,99.99
39,fdd4725f-995a-1c8b-edb3-ad731123eb81,,2.27,7.77,24.86,8.58,4.91,,1.63,0.25,40.57,3.08,0.73,0.48,0.97,2.77,1.02,99.89
40,fdb4d3fb-4e13-4fea-75e6-ae3379dea001,,,47.54,22.33,20.81,2.96,,,,6.07,,,0.06,0.23,,,100
41,975c1b63-2b30-842a-afa1-30f6a5cf13e0,,,6.9,2.33,1.5,6.62,,17.7,,1.95,0.71,0.31,60.13,1.1,0.42,0.32,99.99
42,256f12e1-597c-5593-4e49-4be97702fb7e,,,2.15,25.09,19.13,16.89,0.13,0.13,,,,0.08,35.67,0.62,,0.12,100.01
43,e3f28984-388a-2129-45a1-10003df46902,,,5.77,5.34,3.35,4.76,0.43,15.03,4.61,45.53,0.03,0.39,0.12,6.16,8.29,0.02,99.83
44,02fb5eca-ed6f-a997-7b82-649948dbed5a,,4.34,1.45,33.58,1.5,12.47,0.25,44.26,,,,0.05,0.6,0.84,0.62,0.05,100.01
45,fc5f8a39-4e28-1c4e-8732-e43ed486ecb3,,0.06,2.49,7.3,6.16,28.18,0.07,52.18,,0.93,0.35,,,0.8,1.49,,100.01
46,15e7df2b-fc10-3dc9-08ad-c9856a7a40ef,,1.15,7.19,3.29,2.37,1.78,0.16,9.44,0.11,19.42,,0.29,43.74,3.83,6.97,0.27,100.01
47,0efef17a-07a3-c194-216b-1531127c62e5,,0.42,1.88,12.6,49.94,10.89,0.12,0.58,,0.03,,0.04,0.53,20.78,0.22,1.98,100.01
48,46fd53c2-a8e2-8b43-30f8-0ed6f210c713,,0.25,4.77,18.47,15.73,10.92,0.24,32.89,0.12,0.62,0.08,0.13,13.89,1.36,0.38,0.15,100
49,6197bcb1-4e65-da99-b600-609785a191b5,,0.44,4.01,10.65,12.14,13.66,0.04,50,0.12,0.34,0.02,0.19,1.15,6.58,0.54,0.11,99.99
50,a86d705b-8242-2f59-719a-5784631586ea,,0.39,3.55,50.27,18.42,23.69,0.03,1.92,,0.11,0.03,0.05,0.32,0.81,0.31,0.1,100
51,68574d17-8465-5969-13e9-db314c7a09ce,,0.04,1.23,84.51,7.35,4.74,0.06,0.11,,0.03,,,1.2,0.37,0.36,,100
