count,p,A
1,0.05,0.01
2,0.05,0.02
3,0.05,0.03
4,0.05,0.04
5,0.05,0.05
6,0.05,0.06
7,0.05,0.07
8,0.05,0.08
9,0.05,0.09
10,0.05,0.1
11,0.05,0.11
12,0.05,0.12
13,0.05,0.13
14,0.05,0.14
15,0.05,0.15
16,0.05,0.16
17,0.05,0.17
18,0.05,0.18
19,0.05,0.19
20,0.05,0.2
21,0.05,0.21
22,0.05,0.22
23,0.05,0.23
24,0.05,0.24
25,0.05,0.25
26,0.05,0.26
27,0.05,0.27
28,0.05,0.28
29,0.05,0.29
30,0.05,0.3
31,0.05,0.4
32,0.05,0.5
33,0.05,0.6
34,0.05,0.7
35,0.05,0.8
36,0.05,0.9
37,0.05,1
38,0.15,0.01
39,0.15,0.02
40,0.15,0.03
41,0.15,0.04
42,0.15,0.05
43,0.15,0.06
44,0.15,0.07
45,0.15,0.08
46,0.15,0.09
47,0.15,0.1
48,0.15,0.11
49,0.15,0.12
50,0.15,0.13
51,0.15,0.14
52,0.15,0.15
53,0.15,0.16
54,0.15,0.17
55,0.15,0.18
56,0.15,0.19
57,0.15,0.2
58,0.15,0.21
59,0.15,0.22
60,0.15,0.23
61,0.15,0.24
62,0.15,0.25
63,0.15,0.26
64,0.15,0.27
65,0.15,0.28
66,0.15,0.29
67,0.15,0.3
68,0.15,0.4
69,0.15,0.5
70,0.15,0.6
71,0.15,0.7
72,0.15,0.8
73,0.15,0.9
74,0.15,1
75,0.25,0.01
76,0.25,0.02
77,0.25,0.03
78,0.25,0.04
79,0.25,0.05
80,0.25,0.06
81,0.25,0.07
82,0.25,0.08
83,0.25,0.09
84,0.25,0.1
85,0.25,0.11
86,0.25,0.12
87,0.25,0.13
88,0.25,0.14
89,0.25,0.15
90,0.25,0.16
91,0.25,0.17
92,0.25,0.18
93,0.25,0.19
94,0.25,0.2
95,0.25,0.21
96,0.25,0.22
97,0.25,0.23
98,0.25,0.24
99,0.25,0.25
100,0.25,0.26
101,0.25,0.27
102,0.25,0.28
103,0.25,0.29
104,0.25,0.3
105,0.25,0.4
106,0.25,0.5
107,0.25,0.6
108,0.25,0.7
109,0.25,0.8
110,0.25,0.9
111,0.25,1
112,0.35,0.01
113,0.35,0.02
114,0.35,0.03
115,0.35,0.04
116,0.35,0.05
117,0.35,0.06
118,0.35,0.07
119,0.35,0.08
120,0.35,0.09
121,0.35,0.1
122,0.35,0.11
123,0.35,0.12
124,0.35,0.13
125,0.35,0.14
126,0.35,0.15
127,0.35,0.16
128,0.35,0.17
129,0.35,0.18
130,0.35,0.19
131,0.35,0.2
132,0.35,0.21
133,0.35,0.22
134,0.35,0.23
135,0.35,0.24
136,0.35,0.25
137,0.35,0.26
138,0.35,0.27
139,0.35,0.28
140,0.35,0.29
141,0.35,0.3
142,0.35,0.4
143,0.35,0.5
144,0.35,0.6
145,0.35,0.7
146,0.35,0.8
147,0.35,0.9
148,0.35,1
149,0.45,0.01
150,0.45,0.02
151,0.45,0.03
152,0.45,0.04
153,0.45,0.05
154,0.45,0.06
155,0.45,0.07
156,0.45,0.08
157,0.45,0.09
158,0.45,0.1
159,0.45,0.11
160,0.45,0.12
161,0.45,0.13
162,0.45,0.14
163,0.45,0.15
164,0.45,0.16
165,0.45,0.17
166,0.45,0.18
167,0.45,0.19
168,0.45,0.2
169,0.45,0.21
170,0.45,0.22
171,0.45,0.23
172,0.45,0.24
173,0.45,0.25
174,0.45,0.26
175,0.45,0.27
176,0.45,0.28
177,0.45,0.29
178,0.45,0.3
179,0.45,0.4
180,0.45,0.5
181,0.45,0.6
182,0.45,0.7
183,0.45,0.8
184,0.45,0.9
185,0.45,1
186,0.55,0.01
187,0.55,0.02
188,0.55,0.03
189,0.55,0.04
190,0.55,0.05
191,0.55,0.06
192,0.55,0.07
193,0.55,0.08
194,0.55,0.09
195,0.55,0.1
196,0.55,0.11
197,0.55,0.12
198,0.55,0.13
199,0.55,0.14
200,0.55,0.15
201,0.55,0.16
202,0.55,0.17
203,0.55,0.18
204,0.55,0.19
205,0.55,0.2
206,0.55,0.21
207,0.55,0.22
208,0.55,0.23
209,0.55,0.24
210,0.55,0.25
211,0.55,0.26
212,0.55,0.27
213,0.55,0.28
214,0.55,0.29
215,0.55,0.3
216,0.55,0.4
217,0.55,0.5
218,0.55,0.6
219,0.55,0.7
220,0.55,0.8
221,0.55,0.9
222,0.55,1
